ID,Subsystem,Path,Owner,Role,Phase,Status,DeclaredLang,ImplLang,Build,KyraWave,TargetDir,_source,Title,Area,Priority,Language,FileType,Tags,Description,PlanToConvertToKyra,OrderHint,id,title,language,path
S514,Tooling/CI/Nix/Docs/Proto,.github/workflows/memory_guide.yml,Contractors,memory_guide,P0-P9,[ ],YAML,python,python+pytest,Wave 3 (UI & Docs),github/workflows,coding_plan_v1.csv,,,,,,,,,,,,,
S530,Tooling/CI/Nix/Docs/Proto,.github/workflows/module_011.yml,Contractors,module_011,P0-P9,[ ],YAML,python,python+pytest,Wave 3 (UI & Docs),github/workflows,coding_plan_v1.csv,,,,,,,,,,,,,
S513,Tooling/CI/Nix/Docs/Proto,.github/workflows/security_model.yml,Contractors,security_model,P0-P9,[ ],YAML,python,python+pytest,Wave 3 (UI & Docs),github/workflows,coding_plan_v1.csv,,,,,,,,,,,,,
S508,Tooling/CI/Nix/Docs/Proto,docs/ci_security.md,Contractors,ci_security,P0-P9,[ ],Markdown,python,python+pytest,Wave 3 (UI & Docs),docs,coding_plan_v1.csv,,,,,,,,,,,,,
S512,Tooling/CI/Nix/Docs/Proto,docs/dev_guide.md,Contractors,dev_guide,P0-P9,[ ],Markdown,python,python+pytest,Wave 3 (UI & Docs),docs,coding_plan_v1.csv,,,,,,,,,,,,,
S509,Tooling/CI/Nix/Docs/Proto,docs/flake.md,Contractors,flake,P0-P9,[ ],Markdown,python,python+pytest,Wave 3 (UI & Docs),docs,coding_plan_v1.csv,,,,,,,,,,,,,
S511,Tooling/CI/Nix/Docs/Proto,docs/lock_update.md,Contractors,lock_update,P0-P9,[ ],Markdown,python,python+pytest,Wave 3 (UI & Docs),docs,coding_plan_v1.csv,,,,,,,,,,,,,
S519,Tooling/CI/Nix/Docs/Proto,docs/packaging.md,Contractors,packaging,P0-P9,[ ],Markdown,python,python+pytest,Wave 3 (UI & Docs),docs,coding_plan_v1.csv,,,,,,,,,,,,,
S517,Tooling/CI/Nix/Docs/Proto,docs/percept_proto.md,Contractors,percept_proto,P0-P9,[ ],Markdown,python,python+pytest,Wave 3 (UI & Docs),docs,coding_plan_v1.csv,,,,,,,,,,,,,
S518,Tooling/CI/Nix/Docs/Proto,nix/bootstrap.nix,Contractors,bootstrap,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S520,Tooling/CI/Nix/Docs/Proto,nix/module_001.nix,Contractors,module_001,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S522,Tooling/CI/Nix/Docs/Proto,nix/module_003.nix,Contractors,module_003,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S524,Tooling/CI/Nix/Docs/Proto,nix/module_005.nix,Contractors,module_005,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S525,Tooling/CI/Nix/Docs/Proto,nix/module_006.nix,Contractors,module_006,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S531,Tooling/CI/Nix/Docs/Proto,nix/module_012.nix,Contractors,module_012,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S532,Tooling/CI/Nix/Docs/Proto,nix/module_013.nix,Contractors,module_013,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S533,Tooling/CI/Nix/Docs/Proto,nix/module_014.nix,Contractors,module_014,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S510,Tooling/CI/Nix/Docs/Proto,nix/shell_training.nix,Contractors,shell_training,P0-P9,[ ],Nix,python,python+pytest,Wave 3 (UI & Docs),nix,coding_plan_v1.csv,,,,,,,,,,,,,
S515,Tooling/CI/Nix/Docs/Proto,schemas/api_proto.proto,Contractors,api_proto,P0-P9,[ ],Proto,typescript,typescript+vitest,Wave 3 (UI & Docs),schemas,coding_plan_v1.csv,,,,,,,,,,,,,
S507,Tooling/CI/Nix/Docs/Proto,schemas/ci_acceptance.proto,Contractors,ci_acceptance,P0-P9,[ ],Proto,python,python+pytest,Wave 3 (UI & Docs),schemas,coding_plan_v1.csv,,,,,,,,,,,,,
S506,Tooling/CI/Nix/Docs/Proto,schemas/ci_build.proto,Contractors,ci_build,P0-P9,[ ],Proto,python,python+pytest,Wave 3 (UI & Docs),schemas,coding_plan_v1.csv,,,,,,,,,,,,,
S526,Tooling/CI/Nix/Docs/Proto,schemas/module_007.proto,Contractors,module_007,P0-P9,[ ],Proto,python,python+pytest,Wave 3 (UI & Docs),schemas,coding_plan_v1.csv,,,,,,,,,,,,,
S527,Tooling/CI/Nix/Docs/Proto,schemas/module_008.proto,Contractors,module_008,P0-P9,[ ],Proto,python,python+pytest,Wave 3 (UI & Docs),schemas,coding_plan_v1.csv,,,,,,,,,,,,,
S528,Tooling/CI/Nix/Docs/Proto,schemas/module_009.proto,Contractors,module_009,P0-P9,[ ],Proto,python,python+pytest,Wave 3 (UI & Docs),schemas,coding_plan_v1.csv,,,,,,,,,,,,,
S516,Tooling/CI/Nix/Docs/Proto,scripts/agent_proto.sh,Contractors,agent_proto,P0-P9,[ ],Shell,python,python+pytest,Wave 3 (UI & Docs),scripts,coding_plan_v1.csv,,,,,,,,,,,,,
S521,Tooling/CI/Nix/Docs/Proto,scripts/module_002.sh,Contractors,module_002,P0-P9,[ ],Shell,python,python+pytest,Wave 3 (UI & Docs),scripts,coding_plan_v1.csv,,,,,,,,,,,,,
S523,Tooling/CI/Nix/Docs/Proto,scripts/module_004.sh,Contractors,module_004,P0-P9,[ ],Shell,python,python+pytest,Wave 3 (UI & Docs),scripts,coding_plan_v1.csv,,,,,,,,,,,,,
S529,Tooling/CI/Nix/Docs/Proto,scripts/module_010.sh,Contractors,module_010,P0-P9,[ ],Shell,python,python+pytest,Wave 3 (UI & Docs),scripts,coding_plan_v1.csv,,,,,,,,,,,,,
S553,Immuno (Security Plane),repos/immuno/policy/logic_gate.yaml,Core Team,Tensor-Logic Bridge (neuro-symbolic),"P1,P3,P4",[ ],YAML,python,python+pytest,Wave 0 (Toolchain),repos/immuno/policy,coding_plan_v1.csv,,,,,,,,,,,,,
S012,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/code_style.cpp,Core Team,code_style,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S540,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/helix_embed.cpp,Core Team,Helix Embedding Core (RoPE+/geometric),"P1,P7",[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S066,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_016.cpp,Core Team,module_016,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S088,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_038.cpp,Core Team,module_038,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S089,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_039.cpp,Core Team,module_039,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S093,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_043.cpp,Core Team,module_043,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S094,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_044.cpp,Core Team,module_044,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S095,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_045.cpp,Core Team,module_045,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S103,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_053.cpp,Core Team,module_053,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S110,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_060.cpp,Core Team,module_060,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S117,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_067.cpp,Core Team,module_067,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S132,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_082.cpp,Core Team,module_082,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S135,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_085.cpp,Core Team,module_085,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S142,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_092.cpp,Core Team,module_092,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S153,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_103.cpp,Core Team,module_103,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S155,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_105.cpp,Core Team,module_105,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S157,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_107.cpp,Core Team,module_107,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S178,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_128.cpp,Core Team,module_128,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S182,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_132.cpp,Core Team,module_132,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S184,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_134.cpp,Core Team,module_134,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S185,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_135.cpp,Core Team,module_135,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S186,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_136.cpp,Core Team,module_136,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S192,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_142.cpp,Core Team,module_142,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S213,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_163.cpp,Core Team,module_163,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S214,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_164.cpp,Core Team,module_164,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S226,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_176.cpp,Core Team,module_176,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S230,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/module_180.cpp,Core Team,module_180,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S002,Kyra+Impulse+Tract,repos/impulse/codegen/cpu/token.cpp,Core Team,token,P1-P2-P7,[ ],C++,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/cpu,coding_plan_v1.csv,,,,,,,,,,,,,
S004,Kyra+Impulse+Tract,repos/impulse/codegen/gpu/ast.cu,Core Team,ast,P1-P2-P7,[ ],CUDA,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/gpu,coding_plan_v1.csv,,,,,,,,,,,,,
S041,Kyra+Impulse+Tract,repos/impulse/codegen/gpu/cpu_avx512.cu,Core Team,cpu_avx512,P1-P2-P7,[ ],CUDA,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/gpu,coding_plan_v1.csv,,,,,,,,,,,,,
S010,Kyra+Impulse+Tract,repos/impulse/codegen/gpu/diagnostics.cu,Core Team,diagnostics,P1-P2-P7,[ ],CUDA,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/gpu,coding_plan_v1.csv,,,,,,,,,,,,,
S029,Kyra+Impulse+Tract,repos/impulse/codegen/gpu/gemm.cu,Core Team,gemm,P1-P2-P7,[ ],CUDA,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/gpu,coding_plan_v1.csv,,,,,,,,,,,,,
S541,Kyra+Impulse+Tract,repos/impulse/codegen/gpu/helix_embed.cu,Core Team,Helix Embedding Core (RoPE+/geometric),"P1,P7",[ ],CUDA,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/gpu,coding_plan_v1.csv,,,,,,,,,,,,,
S015,Kyra+Impulse+Tract,repos/impulse/codegen/gpu/ir_validate.cu,Core Team,ir_validate,P1-P2-P7,[ ],CUDA,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/gpu,coding_plan_v1.csv,,,,,,,,,,,,,
S024,Kyra+Impulse+Tract,repos/impulse/codegen/gpu/linker.cu,Core Team,linker,P1-P2-P7,[ ],CUDA,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/gpu,coding_plan_v1.csv,,,,,,,,,,,,,
S052,Kyra+Impulse+Tract,repos/impulse/codegen/gpu/module_002.cu,Core Team,module_002,P1-P2-P7,[ ],CUDA,python,python+pytest,Wave 0 (Toolchain),repos/impulse/codegen/gpu,coding_plan_v1.csv,,,,,,,,,,,,,
